subject,trial,dominant_leg,mot_file,c3d_file,emg_file,output_csv,start_grf_idx,start_time_sec,end_mocap_idx,status
S10,4,R,D:\RESEARCH\STW_dataset\Extracted\S10\ExpData\Mocap\grfResults\stw4.mot,D:\RESEARCH\STW_dataset\Extracted\S10\ExpData\Mocap\stw4.c3d,D:\RESEARCH\STW_dataset\Extracted\S10\ExpData\EMG and IMU\Processed_Normalized_EMG\S10_stw4_processed_normalized_emg.csv,D:\RESEARCH\STW_dataset\Extracted\S10\ExpData\EMG and IMU\Cropped_EMG_RiseToHeelStrike\S10_stw4_cropped_rise_to_hs_emg.csv,3990,3.99,1209,success
S10,5,R,D:\RESEARCH\STW_dataset\Extracted\S10\ExpData\Mocap\grfResults\stw5.mot,D:\RESEARCH\STW_dataset\Extracted\S10\ExpData\Mocap\stw5.c3d,D:\RESEARCH\STW_dataset\Extracted\S10\ExpData\EMG and IMU\Processed_Normalized_EMG\S10_stw5_processed_normalized_emg.csv,D:\RESEARCH\STW_dataset\Extracted\S10\ExpData\EMG and IMU\Cropped_EMG_RiseToHeelStrike\S10_stw5_cropped_rise_to_hs_emg.csv,3761,3.761,1168,success
S12,1,R,D:\RESEARCH\STW_dataset\Extracted\S12\ExpData\Mocap\grfResults\stw1.mot,D:\RESEARCH\STW_dataset\Extracted\S12\ExpData\Mocap\stw1.c3d,D:\RESEARCH\STW_dataset\Extracted\S12\ExpData\EMG and IMU\Processed_Normalized_EMG\S12_stw1_processed_normalized_emg.csv,D:\RESEARCH\STW_dataset\Extracted\S12\ExpData\EMG and IMU\Cropped_EMG_RiseToHeelStrike\S12_stw1_cropped_rise_to_hs_emg.csv,3442,3.442,1132,success
S12,2,R,D:\RESEARCH\STW_dataset\Extracted\S12\ExpData\Mocap\grfResults\stw2.mot,D:\RESEARCH\STW_dataset\Extracted\S12\ExpData\Mocap\stw2.c3d,D:\RESEARCH\STW_dataset\Extracted\S12\ExpData\EMG and IMU\Processed_Normalized_EMG\S12_stw2_processed_normalized_emg.csv,D:\RESEARCH\STW_dataset\Extracted\S12\ExpData\EMG and IMU\Cropped_EMG_RiseToHeelStrike\S12_stw2_cropped_rise_to_hs_emg.csv,3361,3.361,1103,success
S12,3,R,D:\RESEARCH\STW_dataset\Extracted\S12\ExpData\Mocap\grfResults\stw3.mot,D:\RESEARCH\STW_dataset\Extracted\S12\ExpData\Mocap\stw3.c3d,D:\RESEARCH\STW_dataset\Extracted\S12\ExpData\EMG and IMU\Processed_Normalized_EMG\S12_stw3_processed_normalized_emg.csv,D:\RESEARCH\STW_dataset\Extracted\S12\ExpData\EMG and IMU\Cropped_EMG_RiseToHeelStrike\S12_stw3_cropped_rise_to_hs_emg.csv,2585,2.585,938,success
S12,4,R,D:\RESEARCH\STW_dataset\Extracted\S12\ExpData\Mocap\grfResults\stw4.mot,D:\RESEARCH\STW_dataset\Extracted\S12\ExpData\Mocap\stw4.c3d,D:\RESEARCH\STW_dataset\Extracted\S12\ExpData\EMG and IMU\Processed_Normalized_EMG\S12_stw4_processed_normalized_emg.csv,D:\RESEARCH\STW_dataset\Extracted\S12\ExpData\EMG and IMU\Cropped_EMG_RiseToHeelStrike\S12_stw4_cropped_rise_to_hs_emg.csv,1679,1.679,940,success
S12,5,R,D:\RESEARCH\STW_dataset\Extracted\S12\ExpData\Mocap\grfResults\stw5.mot,D:\RESEARCH\STW_dataset\Extracted\S12\ExpData\Mocap\stw5.c3d,D:\RESEARCH\STW_dataset\Extracted\S12\ExpData\EMG and IMU\Processed_Normalized_EMG\S12_stw5_processed_normalized_emg.csv,D:\RESEARCH\STW_dataset\Extracted\S12\ExpData\EMG and IMU\Cropped_EMG_RiseToHeelStrike\S12_stw5_cropped_rise_to_hs_emg.csv,3903,3.903,1196,success
S15,1,L,D:\RESEARCH\STW_dataset\Extracted\S15\ExpData\Mocap\grfResults\stw1.mot,D:\RESEARCH\STW_dataset\Extracted\S15\ExpData\Mocap\stw1.c3d,D:\RESEARCH\STW_dataset\Extracted\S15\ExpData\EMG and IMU\Processed_Normalized_EMG\S15_stw1_processed_normalized_emg.csv,D:\RESEARCH\STW_dataset\Extracted\S15\ExpData\EMG and IMU\Cropped_EMG_RiseToHeelStrike\S15_stw1_cropped_rise_to_hs_emg.csv,3794,3.794,1215,success
S15,2,L,D:\RESEARCH\STW_dataset\Extracted\S15\ExpData\Mocap\grfResults\stw2.mot,D:\RESEARCH\STW_dataset\Extracted\S15\ExpData\Mocap\stw2.c3d,D:\RESEARCH\STW_dataset\Extracted\S15\ExpData\EMG and IMU\Processed_Normalized_EMG\S15_stw2_processed_normalized_emg.csv,D:\RESEARCH\STW_dataset\Extracted\S15\ExpData\EMG and IMU\Cropped_EMG_RiseToHeelStrike\S15_stw2_cropped_rise_to_hs_emg.csv,929,0.929,1202,success
S15,3,L,D:\RESEARCH\STW_dataset\Extracted\S15\ExpData\Mocap\grfResults\stw3.mot,D:\RESEARCH\STW_dataset\Extracted\S15\ExpData\Mocap\stw3.c3d,D:\RESEARCH\STW_dataset\Extracted\S15\ExpData\EMG and IMU\Processed_Normalized_EMG\S15_stw3_processed_normalized_emg.csv,D:\RESEARCH\STW_dataset\Extracted\S15\ExpData\EMG and IMU\Cropped_EMG_RiseToHeelStrike\S15_stw3_cropped_rise_to_hs_emg.csv,2833,2.833,1130,success
S15,4,L,D:\RESEARCH\STW_dataset\Extracted\S15\ExpData\Mocap\grfResults\stw4.mot,D:\RESEARCH\STW_dataset\Extracted\S15\ExpData\Mocap\stw4.c3d,D:\RESEARCH\STW_dataset\Extracted\S15\ExpData\EMG and IMU\Processed_Normalized_EMG\S15_stw4_processed_normalized_emg.csv,D:\RESEARCH\STW_dataset\Extracted\S15\ExpData\EMG and IMU\Cropped_EMG_RiseToHeelStrike\S15_stw4_cropped_rise_to_hs_emg.csv,3707,3.707,1201,success
S16,1,R,D:\RESEARCH\STW_dataset\Extracted\S16\ExpData\Mocap\grfResults\stw1.mot,D:\RESEARCH\STW_dataset\Extracted\S16\ExpData\Mocap\stw1.c3d,D:\RESEARCH\STW_dataset\Extracted\S16\ExpData\EMG and IMU\Processed_Normalized_EMG\S16_stw1_processed_normalized_emg.csv,D:\RESEARCH\STW_dataset\Extracted\S16\ExpData\EMG and IMU\Cropped_EMG_RiseToHeelStrike\S16_stw1_cropped_rise_to_hs_emg.csv,3251,3.251,954,success
S16,2,R,D:\RESEARCH\STW_dataset\Extracted\S16\ExpData\Mocap\grfResults\stw2.mot,D:\RESEARCH\STW_dataset\Extracted\S16\ExpData\Mocap\stw2.c3d,D:\RESEARCH\STW_dataset\Extracted\S16\ExpData\EMG and IMU\Processed_Normalized_EMG\S16_stw2_processed_normalized_emg.csv,D:\RESEARCH\STW_dataset\Extracted\S16\ExpData\EMG and IMU\Cropped_EMG_RiseToHeelStrike\S16_stw2_cropped_rise_to_hs_emg.csv,3784,3.784,1040,success
S16,3,R,D:\RESEARCH\STW_dataset\Extracted\S16\ExpData\Mocap\grfResults\stw3.mot,D:\RESEARCH\STW_dataset\Extracted\S16\ExpData\Mocap\stw3.c3d,D:\RESEARCH\STW_dataset\Extracted\S16\ExpData\EMG and IMU\Processed_Normalized_EMG\S16_stw3_processed_normalized_emg.csv,D:\RESEARCH\STW_dataset\Extracted\S16\ExpData\EMG and IMU\Cropped_EMG_RiseToHeelStrike\S16_stw3_cropped_rise_to_hs_emg.csv,3622,3.622,993,success
S16,4,R,D:\RESEARCH\STW_dataset\Extracted\S16\ExpData\Mocap\grfResults\stw4.mot,D:\RESEARCH\STW_dataset\Extracted\S16\ExpData\Mocap\stw4.c3d,D:\RESEARCH\STW_dataset\Extracted\S16\ExpData\EMG and IMU\Processed_Normalized_EMG\S16_stw4_processed_normalized_emg.csv,D:\RESEARCH\STW_dataset\Extracted\S16\ExpData\EMG and IMU\Cropped_EMG_RiseToHeelStrike\S16_stw4_cropped_rise_to_hs_emg.csv,3699,3.699,1015,success
S16,5,R,D:\RESEARCH\STW_dataset\Extracted\S16\ExpData\Mocap\grfResults\stw5.mot,D:\RESEARCH\STW_dataset\Extracted\S16\ExpData\Mocap\stw5.c3d,D:\RESEARCH\STW_dataset\Extracted\S16\ExpData\EMG and IMU\Processed_Normalized_EMG\S16_stw5_processed_normalized_emg.csv,D:\RESEARCH\STW_dataset\Extracted\S16\ExpData\EMG and IMU\Cropped_EMG_RiseToHeelStrike\S16_stw5_cropped_rise_to_hs_emg.csv,4242,4.242,1149,success
S17,1,R,D:\RESEARCH\STW_dataset\Extracted\S17\ExpData\Mocap\grfResults\stw1.mot,D:\RESEARCH\STW_dataset\Extracted\S17\ExpData\Mocap\stw1.c3d,D:\RESEARCH\STW_dataset\Extracted\S17\ExpData\EMG and IMU\Processed_Normalized_EMG\S17_stw1_processed_normalized_emg.csv,D:\RESEARCH\STW_dataset\Extracted\S17\ExpData\EMG and IMU\Cropped_EMG_RiseToHeelStrike\S17_stw1_cropped_rise_to_hs_emg.csv,3593,3.593,1194,success
S17,2,R,D:\RESEARCH\STW_dataset\Extracted\S17\ExpData\Mocap\grfResults\stw2.mot,D:\RESEARCH\STW_dataset\Extracted\S17\ExpData\Mocap\stw2.c3d,D:\RESEARCH\STW_dataset\Extracted\S17\ExpData\EMG and IMU\Processed_Normalized_EMG\S17_stw2_processed_normalized_emg.csv,D:\RESEARCH\STW_dataset\Extracted\S17\ExpData\EMG and IMU\Cropped_EMG_RiseToHeelStrike\S17_stw2_cropped_rise_to_hs_emg.csv,3642,3.642,1158,success
