muscle_column,emg_fs,start_grf_idx,end_mocap_idx,mapped_start_emg_idx,mapped_end_emg_idx,cropped_length,status,subject,trial
Vastus Lateralis (%),1778,2177,826,3871,7343,3472,success,S07,2
Vastus Medialis (%),1778,2177,826,3871,7343,3472,success,S07,2
Semitendinosus (%),1259,2177,826,2741,5200,2459,success,S07,2
Bicep Femoris (%),1259,2177,826,2741,5200,2459,success,S07,2
Tibialis Anterior (%),1259,1281,939,1613,5911,4298,success,S07,3
Gastrocnemius Medialis (%),1778,1281,939,2278,8348,6070,success,S07,3
Gastrocnemius Lateralis (%),1778,1281,939,2278,8348,6070,success,S07,3
Rectus Femoris (%),1259,1281,939,1613,5911,4298,success,S07,3
Vastus Lateralis (%),1778,1281,939,2278,8348,6070,success,S07,3
Vastus Medialis (%),1778,1281,939,2278,8348,6070,success,S07,3
Semitendinosus (%),1259,1281,939,1613,5911,4298,success,S07,3
Bicep Femoris (%),1259,1281,939,1613,5911,4298,success,S07,3
Tibialis Anterior (%),1259,2859,970,3599,6106,2507,success,S07,4
Gastrocnemius Medialis (%),1778,2859,970,5083,8623,3540,success,S07,4
Gastrocnemius Lateralis (%),1778,2859,970,5083,8623,3540,success,S07,4
Rectus Femoris (%),1259,2859,970,3599,6106,2507,success,S07,4
Vastus Lateralis (%),1778,2859,970,5083,8623,3540,success,S07,4
Vastus Medialis (%),1778,2859,970,5083,8623,3540,success,S07,4
Semitendinosus (%),1259,2859,970,3599,6106,2507,success,S07,4
Bicep Femoris (%),1259,2859,970,3599,6106,2507,success,S07,4
Tibialis Anterior (%),1259,3084,1036,3883,6522,2639,success,S07,5
Gastrocnemius Medialis (%),1778,3084,1036,5483,9210,3727,success,S07,5
Gastrocnemius Lateralis (%),1778,3084,1036,5483,9210,3727,success,S07,5
Rectus Femoris (%),1259,3084,1036,3883,6522,2639,success,S07,5
Vastus Lateralis (%),1778,3084,1036,5483,9210,3727,success,S07,5
Vastus Medialis (%),1778,3084,1036,5483,9210,3727,success,S07,5
Semitendinosus (%),1259,3084,1036,3883,6522,2639,success,S07,5
Bicep Femoris (%),1259,3084,1036,3883,6522,2639,success,S07,5
Tibialis Anterior (%),1259,2677,939,3370,5911,2541,success,S08,1
Gastrocnemius Medialis (%),1778,2677,939,4760,8348,3588,success,S08,1
Gastrocnemius Lateralis (%),1778,2677,939,4760,8348,3588,success,S08,1
Rectus Femoris (%),1259,2677,939,3370,5911,2541,success,S08,1
Vastus Lateralis (%),1778,2677,939,4760,8348,3588,success,S08,1
Vastus Medialis (%),1778,2677,939,4760,8348,3588,success,S08,1
Semitendinosus (%),1259,2677,939,3370,5911,2541,success,S08,1
Bicep Femoris (%),1259,2677,939,3370,5911,2541,success,S08,1
Tibialis Anterior (%),1259,1999,1221,2517,7686,5169,success,S08,2
Gastrocnemius Medialis (%),1778,1999,1221,3554,10855,7301,success,S08,2
Gastrocnemius Lateralis (%),1778,1999,1221,3554,10855,7301,success,S08,2
Rectus Femoris (%),1259,1999,1221,2517,7686,5169,success,S08,2
Vastus Lateralis (%),1778,1999,1221,3554,10855,7301,success,S08,2
Vastus Medialis (%),1778,1999,1221,3554,10855,7301,success,S08,2
Semitendinosus (%),1259,1999,1221,2517,7686,5169,success,S08,2
Bicep Femoris (%),1259,1999,1221,2517,7686,5169,success,S08,2
Tibialis Anterior (%),1259,3681,1114,4634,7013,2379,success,S08,3
Gastrocnemius Medialis (%),1778,3681,1114,6545,9903,3358,success,S08,3
Gastrocnemius Lateralis (%),1778,3681,1114,6545,9903,3358,success,S08,3
Rectus Femoris (%),1259,3681,1114,4634,7013,2379,success,S08,3
Vastus Lateralis (%),1778,3681,1114,6545,9903,3358,success,S08,3
Vastus Medialis (%),1778,3681,1114,6545,9903,3358,success,S08,3
Semitendinosus (%),1259,3681,1114,4634,7013,2379,success,S08,3
Bicep Femoris (%),1259,3681,1114,4634,7013,2379,success,S08,3
Tibialis Anterior (%),1259,4150,1180,5225,7428,2203,success,S08,4
Gastrocnemius Medialis (%),1778,4150,1180,7379,10490,3111,success,S08,4
Gastrocnemius Lateralis (%),1778,4150,1180,7379,10490,3111,success,S08,4
Rectus Femoris (%),1259,4150,1180,5225,7428,2203,success,S08,4
Vastus Lateralis (%),1778,4150,1180,7379,10490,3111,success,S08,4
Vastus Medialis (%),1778,4150,1180,7379,10490,3111,success,S08,4
Semitendinosus (%),1259,4150,1180,5225,7428,2203,success,S08,4
Bicep Femoris (%),1259,4150,1180,5225,7428,2203,success,S08,4
Tibialis Anterior (%),1259,4343,1253,5468,7888,2420,success,S08,5
Gastrocnemius Medialis (%),1778,4343,1253,7722,11139,3417,success,S08,5
Gastrocnemius Lateralis (%),1778,4343,1253,7722,11139,3417,success,S08,5
Rectus Femoris (%),1259,4343,1253,5468,7888,2420,success,S08,5
Vastus Lateralis (%),1778,4343,1253,7722,11139,3417,success,S08,5
Vastus Medialis (%),1778,4343,1253,7722,11139,3417,success,S08,5
Semitendinosus (%),1259,4343,1253,5468,7888,2420,success,S08,5
Bicep Femoris (%),1259,4343,1253,5468,7888,2420,success,S08,5
Tibialis Anterior (%),1259,3507,1034,4415,6509,2094,success,S09,1
Gastrocnemius Medialis (%),1778,3507,1034,6235,9192,2957,success,S09,1
Gastrocnemius Lateralis (%),1778,3507,1034,6235,9192,2957,success,S09,1
Rectus Femoris (%),1259,3507,1034,4415,6509,2094,success,S09,1
Vastus Lateralis (%),1778,3507,1034,6235,9192,2957,success,S09,1
Vastus Medialis (%),1778,3507,1034,6235,9192,2957,success,S09,1
Semitendinosus (%),1259,3507,1034,4415,6509,2094,success,S09,1
Bicep Femoris (%),1259,3507,1034,4415,6509,2094,success,S09,1
Tibialis Anterior (%),1259,3749,1098,4720,6912,2192,success,S09,2
Gastrocnemius Medialis (%),1778,3749,1098,6666,9761,3095,success,S09,2
Gastrocnemius Lateralis (%),1778,3749,1098,6666,9761,3095,success,S09,2
Rectus Femoris (%),1259,3749,1098,4720,6912,2192,success,S09,2
Vastus Lateralis (%),1778,3749,1098,6666,9761,3095,success,S09,2
Vastus Medialis (%),1778,3749,1098,6666,9761,3095,success,S09,2
Semitendinosus (%),1259,3749,1098,4720,6912,2192,success,S09,2
Bicep Femoris (%),1259,3749,1098,4720,6912,2192,success,S09,2
Tibialis Anterior (%),1259,2739,974,3448,6131,2683,success,S09,3
Gastrocnemius Medialis (%),1778,2739,974,4870,8659,3789,success,S09,3
Gastrocnemius Lateralis (%),1778,2739,974,4870,8659,3789,success,S09,3
Rectus Femoris (%),1259,2739,974,3448,6131,2683,success,S09,3
Vastus Lateralis (%),1778,2739,974,4870,8659,3789,success,S09,3
Vastus Medialis (%),1778,2739,974,4870,8659,3789,success,S09,3
Semitendinosus (%),1259,2739,974,3448,6131,2683,success,S09,3
Bicep Femoris (%),1259,2739,974,3448,6131,2683,success,S09,3
Tibialis Anterior (%),1259,3343,1088,4209,6849,2640,success,S09,4
Gastrocnemius Medialis (%),1778,3343,1088,5944,9672,3728,success,S09,4
Gastrocnemius Lateralis (%),1778,3343,1088,5944,9672,3728,success,S09,4
Rectus Femoris (%),1259,3343,1088,4209,6849,2640,success,S09,4
Vastus Lateralis (%),1778,3343,1088,5944,9672,3728,success,S09,4
Vastus Medialis (%),1778,3343,1088,5944,9672,3728,success,S09,4
Semitendinosus (%),1259,3343,1088,4209,6849,2640,success,S09,4
Bicep Femoris (%),1259,3343,1088,4209,6849,2640,success,S09,4
Tibialis Anterior (%),1259,2888,994,3636,6257,2621,success,S09,5
Gastrocnemius Medialis (%),1778,2888,994,5135,8837,3702,success,S09,5
Gastrocnemius Lateralis (%),1778,2888,994,5135,8837,3702,success,S09,5
Rectus Femoris (%),1259,2888,994,3636,6257,2621,success,S09,5
Vastus Lateralis (%),1778,2888,994,5135,8837,3702,success,S09,5
