Tibialis Anterior (%),Gastrocnemius Medialis (%),Gastrocnemius Lateralis (%),Rectus Femoris (%),Vastus Lateralis (%),Vastus Medialis (%),Semitendinosus (%),Bicep Femoris (%)
-2.9416689391558238e-05,5.16806922606744,6.002111710024587,-1.190238077939583e-05,28.66037558648443,13.998072642898348,-1.5447150978150625e-05,-1.2211134932224003e-05
-2.9362319195710805e-05,5.178564816017231,6.012777266280824,-1.2770128113686277e-05,28.718400745543683,14.038191042766446,-1.5381404771830688e-05,-1.2179926938257536e-05
-2.9283153929780527e-05,5.189322244378027,6.023626232208042,-1.3606897231247352e-05,28.77552292633258,14.077760512058038,-1.530351393090607e-05,-1.2138629645596525e-05
-2.917982549643316e-05,5.200342583025884,6.03465781089011,-1.4412648227187665e-05,28.83174317842502,14.116777225893776,-1.5213822633739311e-05,-1.208750823253983e-05
-2.90529729009125e-05,5.211626788862775,6.045871102586439,-1.5187369595191287e-05,28.88706263237269,14.155237499952772,-1.5112677721308952e-05,-1.2026830577913878e-05
-2.8903241523716396e-05,5.223175703466701,6.057265105608063,-1.593107759434929e-05,28.941482496423067,14.193137790768521,-1.5000428329447576e-05,-1.1956866962444052e-05
-2.8731282404099075e-05,5.234990052816503,6.068838717273082,-1.6643815605724373e-05,28.995004053353835,14.230474695932985,-1.487742552737726e-05,-1.187788977476241e-05
-2.8537751534789822e-05,5.247070447091297,6.080590734939698,-1.732565347945144e-05,29.047628657426376,14.267244954207417,-1.4744021962720235e-05,-1.1790173222207344e-05
-2.8323309168298936e-05,5.259417380544316,6.092519857114888,-1.7976686873167432e-05,29.099357731460852,14.303445445538946,-1.4600571513152735e-05,-1.1693993046562925e-05
-2.8088619135163452e-05,5.272031231450767,6.104624684636637,-1.8597036582553035e-05,29.150192764035303,14.339073190982376,-1.4447428944860214e-05,-1.1589626244878041e-05
-2.78343481744663e-05,5.284912262129157,6.116903721927473,-1.918684786475859e-05,29.200135306811177,14.37412535252713,-1.4284949577942723e-05,-1.1477350795497658e-05
-2.756116527694447e-05,5.298060619035316,6.129355378316845,-1.974628975547501e-05,29.249186971987594,14.408599232829634,-1.4113488958909472e-05,-1.1357445389431025e-05
-2.7269741040983045e-05,5.311476332928225,6.141977969429831,-2.0275554380399024e-05,29.29734942988681,14.442492274851848,-1.3933402540392345e-05,-1.1230189167173993e-05
-2.6960747041774153e-05,5.32515931910658,6.154769718639576,-2.0774856261830152e-05,29.344624406672814,14.475802061406885,-1.3745045368198654e-05,-1.1095861461095194e-05
-2.6634855213901737e-05,5.339109377714914,6.167728758580929,-2.1244431621124213e-05,29.39101368220521,14.508526314612928,-1.3548771775814357e-05,-1.0954741543488319e-05
-2.6292737247595304e-05,5.353326194118044,6.1808531327228255,-2.1684537677715666e-05,29.436519088029478,14.540662895257286,-1.334493508645964e-05,-1.080710838038558e-05
-2.593506399887802e-05,5.367809339342411,6.194140796997096,-2.2095451945407813e-05,29.481142505504394,14.57220980207256,-1.3133887322789942e-05,-1.0653240391219901e-05
